Document Name,Page Number,Current Charges,Account Number 1,Account Number 2,Zipcode,Vendor Name,Due Date,Customer Address,Remittance address
SP Gahanna - Gas 07.28.22 to 08.26.22 - Columbia Gas of Ohio - 9.pdf,1,$ 41.18,,,43230-3091,,09/13/2022,Your Contact Information : Rd 5435 Morse Columbus OH 43230-3091,
SP Gahanna - Gas 07.28.22 to 08.26.22 - Columbia Gas of Ohio - 9.pdf,2,,21045496 003,,,,,,
SP Gahanna - Gas 07.28.22 to 08.26.22 - Columbia Gas of Ohio - 8.pdf,1,$ 44.92,21045496 004 000 0,,60197-4529,,09/13/2022,Your Contact Information : Morse 5435 Rd Columbus OH 45230-3091,Make check payable to : COLUMBIA GAS PO BOX 4629 CAROL STREAM IL 60197-4529 MaltMuhl
SP Gahanna - Gas 07.28.22 to 08.26.22 - Columbia Gas of Ohio - 8.pdf,2,,21045490 004 000 0,,,,,,
SP Gahanna - Gas 07.28.22 to 08.26.22 - Columbia Gas of Ohio - 7.pdf,1,$ 41.18,21045496 007 000 7,,60197-4629,,09/13/2022,Your Contact Information : 5435 Morse Rd Columbus OH 45230-3091,to Make check payable : COLUMBIA GAS PO BOX 4629 CAROL STREAM IL 60197-4629 Wal·lil | Pild¶¼lılı
SP Gahanna - Gas 07.28.22 to 08.26.22 - Columbia Gas of Ohio - 7.pdf,2,,21045496 007 000 7,,,,,,
SP Gahanna - Gas 07.28.22 to 08.26.22 - Columbia Gas of Ohio - 6.pdf,1,$ 42.42,21045496 008 000 6,,60197-4629,,09/13/2022,Your Contact Information : 5435 Morse Rd Columbus OH 43230-3091,Make check payable to : COLUMBIA GAS PO BOX 4629 CAROL STREAM IL 60197-4629
SP Gahanna - Gas 07.28.22 to 08.26.22 - Columbia Gas of Ohio - 6.pdf,2,,21045496 008 000 6,,,,,,
SP Gahanna - Gas 07.28.22 to 08.26.22 - Columbia Gas of Ohio - 5.pdf,1,$ 41.18,21045496 005 000 9,,00197-4629,,09/13/2022,Your Contact Information : Rd Morse 5455 Columbus OH 43230-3091,to Make check payable : COLUMBIA GAS KO PO BOX 4629 CAROL STREAM IL 00197-4629 WyılıbMaklu¶¼kh
SP Gahanna - Gas 07.28.22 to 08.26.22 - Columbia Gas of Ohio - 5.pdf,2,,21045496 005 000 9,,,,,,
